,Year,Accuracy,AUC
0,2006,0.566364270760642,0.5788361374407582
1,2008,0.7031381339310732,0.6345701841461802
2,2010,0.7096641676080928,0.7178568207287923
3,2012,0.7100575746671465,0.6836987381632937
4,2014,0.6752249867654844,0.7374063077864961
5,2016,0.6535724873999407,0.6890357872695396
6,2018,0.6848255298573616,0.7273221145103126
